asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,23,2023年真题,考研数学一历年真题,选择题,01,题1,zt_23-01_question.png,zt_23-01_solution.png,1
002,23,2023年真题,考研数学一历年真题,选择题,02,题2,zt_23-02_question.png,zt_23-02_solution.png,1
003,23,2023年真题,考研数学一历年真题,选择题,03,题3,zt_23-03_question.png,zt_23-03_solution.png,1
004,23,2023年真题,考研数学一历年真题,选择题,04,题4,zt_23-04_question.png,zt_23-04_solution.png,2
005,23,2023年真题,考研数学一历年真题,选择题,05,题5,zt_23-05_question.png,zt_23-05_solution.png,1
006,23,2023年真题,考研数学一历年真题,选择题,06,题6,zt_23-06_question.png,zt_23-06_solution.png,1
007,23,2023年真题,考研数学一历年真题,选择题,07,题7,zt_23-07_question.png,zt_23-07_solution.png,1
008,23,2023年真题,考研数学一历年真题,选择题,08,题8,zt_23-08_question.png,zt_23-08_solution.png,1
009,23,2023年真题,考研数学一历年真题,选择题,09,题9,zt_23-09_question.png,zt_23-09_solution.png,1
010,23,2023年真题,考研数学一历年真题,选择题,10,题10,zt_23-10_question.png,zt_23-10_solution.png,1
011,23,2023年真题,考研数学一历年真题,填空题,11,题11,zt_23-11_question.png,zt_23-11_solution.png,1
012,23,2023年真题,考研数学一历年真题,填空题,12,题12,zt_23-12_question.png,zt_23-12_solution.png,1
013,23,2023年真题,考研数学一历年真题,填空题,13,题13,zt_23-13_question.png,zt_23-13_solution.png,1
014,23,2023年真题,考研数学一历年真题,填空题,14,题14,zt_23-14_question.png,zt_23-14_solution.png,1
015,23,2023年真题,考研数学一历年真题,填空题,15,题15,zt_23-15_question.png,zt_23-15_solution.png,1
016,23,2023年真题,考研数学一历年真题,填空题,16,题16,zt_23-16_question.png,zt_23-16_solution.png,1
017,23,2023年真题,考研数学一历年真题,解答题,17,题17,zt_23-17_question.png,zt_23-17_solution.png,1
018,23,2023年真题,考研数学一历年真题,解答题,18,题18,zt_23-18_question.png,zt_23-18_solution.png,1
019,23,2023年真题,考研数学一历年真题,解答题,19,题19,zt_23-19_question.png,zt_23-19_solution.png,1
020,23,2023年真题,考研数学一历年真题,解答题,20,题20,zt_23-20_question.png,zt_23-20_solution.png,1
021,23,2023年真题,考研数学一历年真题,解答题,21,题21,zt_23-21_question.png,zt_23-21_solution.png,3
022,23,2023年真题,考研数学一历年真题,解答题,22,题22,zt_23-22_question.png,zt_23-22_solution.png,1
