asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,18,2018年真题,考研数学一历年真题,选择题,01,题1,zt_18-01_question.png,zt_18-01_solution.png,1
002,18,2018年真题,考研数学一历年真题,选择题,02,题2,zt_18-02_question.png,zt_18-02_solution.png,2
003,18,2018年真题,考研数学一历年真题,选择题,03,题3,zt_18-03_question.png,zt_18-03_solution.png,2
004,18,2018年真题,考研数学一历年真题,选择题,04,题4,zt_18-04_question.png,zt_18-04_solution.png,2
005,18,2018年真题,考研数学一历年真题,选择题,05,题5,zt_18-05_question.png,zt_18-05_solution.png,3
006,18,2018年真题,考研数学一历年真题,选择题,06,题6,zt_18-06_question.png,zt_18-06_solution.png,3
007,18,2018年真题,考研数学一历年真题,选择题,07,题7,zt_18-07_question.png,zt_18-07_solution.png,1
008,18,2018年真题,考研数学一历年真题,选择题,08,题8,zt_18-08_question.png,zt_18-08_solution.png,3
009,18,2018年真题,考研数学一历年真题,填空题,09,题9,zt_18-09_question.png,zt_18-09_solution.png,1
010,18,2018年真题,考研数学一历年真题,填空题,10,题10,zt_18-10_question.png,zt_18-10_solution.png,1
011,18,2018年真题,考研数学一历年真题,填空题,11,题11,zt_18-11_question.png,zt_18-11_solution.png,2
012,18,2018年真题,考研数学一历年真题,填空题,12,题12,zt_18-12_question.png,zt_18-12_solution.png,4
013,18,2018年真题,考研数学一历年真题,填空题,13,题13,zt_18-13_question.png,zt_18-13_solution.png,1
014,18,2018年真题,考研数学一历年真题,填空题,14,题14,zt_18-14_question.png,zt_18-14_solution.png,2
015,18,2018年真题,考研数学一历年真题,解答题,15,题15,zt_18-15_question.png,zt_18-15_solution.png,3
016,18,2018年真题,考研数学一历年真题,解答题,16,题16,zt_18-16_question.png,zt_18-16_solution.png,4
017,18,2018年真题,考研数学一历年真题,解答题,17,题17,zt_18-17_question.png,zt_18-17_solution.png,2
018,18,2018年真题,考研数学一历年真题,解答题,18,题18,zt_18-18_question.png,zt_18-18_solution.png,3
019,18,2018年真题,考研数学一历年真题,解答题,19,题19,zt_18-19_question.png,zt_18-19_solution.png,2
020,18,2018年真题,考研数学一历年真题,解答题,20,题20,zt_18-20_question.png,zt_18-20_solution.png,3
021,18,2018年真题,考研数学一历年真题,解答题,21,题21,zt_18-21_question.png,zt_18-21_solution.png,3
022,18,2018年真题,考研数学一历年真题,解答题,22,题22,zt_18-22_question.png,zt_18-22_solution.png,3
023,18,2018年真题,考研数学一历年真题,解答题,23,题23,zt_18-23_question.png,zt_18-23_solution.png,3
