asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,87,1987年真题,考研数学一历年真题,解答题,01,题1,zt_87-01_question.png,zt_87-01_solution.png,1
002,87,1987年真题,考研数学一历年真题,填空题,02,题2,zt_87-02_question.png,zt_87-02_solution.png,1
003,87,1987年真题,考研数学一历年真题,填空题,03,题3,zt_87-03_question.png,zt_87-03_solution.png,1
004,87,1987年真题,考研数学一历年真题,填空题,04,题4,zt_87-04_question.png,zt_87-04_solution.png,1
005,87,1987年真题,考研数学一历年真题,填空题,05,题5,zt_87-05_question.png,zt_87-05_solution.png,2
006,87,1987年真题,考研数学一历年真题,解答题,06,题6,zt_87-06_question.png,zt_87-06_solution.png,1
007,87,1987年真题,考研数学一历年真题,解答题,07,题7,zt_87-07_question.png,zt_87-07_solution.png,1
008,87,1987年真题,考研数学一历年真题,解答题,08,题8,zt_87-08_question.png,zt_87-08_solution.png,1
009,87,1987年真题,考研数学一历年真题,解答题,09,题9,zt_87-09_question.png,zt_87-09_solution.png,1
010,87,1987年真题,考研数学一历年真题,选择题,10,题10,zt_87-10_question.png,zt_87-10_solution.png,2
011,87,1987年真题,考研数学一历年真题,选择题,11,题11,zt_87-11_question.png,zt_87-11_solution.png,1
012,87,1987年真题,考研数学一历年真题,选择题,12,题12,zt_87-12_question.png,zt_87-12_solution.png,1
013,87,1987年真题,考研数学一历年真题,选择题,13,题13,zt_87-13_question.png,zt_87-13_solution.png,1
014,87,1987年真题,考研数学一历年真题,解答题,14,题14,zt_87-14_question.png,zt_87-14_solution.png,2
015,87,1987年真题,考研数学一历年真题,解答题,15,题15,zt_87-15_question.png,zt_87-15_solution.png,2
016,87,1987年真题,考研数学一历年真题,解答题,16,题16,zt_87-16_question.png,zt_87-16_solution.png,1
017,87,1987年真题,考研数学一历年真题,解答题,17,题17,zt_87-17_question.png,zt_87-17_solution.png,2
018,87,1987年真题,考研数学一历年真题,填空题,18,题18,zt_87-18_question.png,zt_87-18_solution.png,1
019,87,1987年真题,考研数学一历年真题,填空题,19,题19,zt_87-19_question.png,zt_87-19_solution.png,1
020,87,1987年真题,考研数学一历年真题,填空题,20,题20,zt_87-20_question.png,zt_87-20_solution.png,1
021,87,1987年真题,考研数学一历年真题,解答题,21,题21,zt_87-21_question.png,zt_87-21_solution.png,3
