asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,19,2019年真题,考研数学一历年真题,选择题,01,题1,zt_19-01_question.png,zt_19-01_solution.png,1
002,19,2019年真题,考研数学一历年真题,选择题,02,题2,zt_19-02_question.png,zt_19-02_solution.png,2
003,19,2019年真题,考研数学一历年真题,选择题,03,题3,zt_19-03_question.png,zt_19-03_solution.png,5
004,19,2019年真题,考研数学一历年真题,选择题,04,题4,zt_19-04_question.png,zt_19-04_solution.png,2
005,19,2019年真题,考研数学一历年真题,选择题,05,题5,zt_19-05_question.png,zt_19-05_solution.png,1
006,19,2019年真题,考研数学一历年真题,选择题,06,题6,zt_19-06_question.png,zt_19-06_solution.png,3
007,19,2019年真题,考研数学一历年真题,选择题,07,题7,zt_19-07_question.png,zt_19-07_solution.png,1
008,19,2019年真题,考研数学一历年真题,选择题,08,题8,zt_19-08_question.png,zt_19-08_solution.png,1
009,19,2019年真题,考研数学一历年真题,填空题,09,题9,zt_19-09_question.png,zt_19-09_solution.png,1
010,19,2019年真题,考研数学一历年真题,填空题,10,题10,zt_19-10_question.png,zt_19-10_solution.png,2
011,19,2019年真题,考研数学一历年真题,填空题,11,题11,zt_19-11_question.png,zt_19-11_solution.png,1
012,19,2019年真题,考研数学一历年真题,填空题,12,题12,zt_19-12_question.png,zt_19-12_solution.png,2
013,19,2019年真题,考研数学一历年真题,填空题,13,题13,zt_19-13_question.png,zt_19-13_solution.png,1
014,19,2019年真题,考研数学一历年真题,填空题,14,题14,zt_19-14_question.png,zt_19-14_solution.png,3
015,19,2019年真题,考研数学一历年真题,解答题,15,题15,zt_19-15_question.png,zt_19-15_solution.png,2
016,19,2019年真题,考研数学一历年真题,解答题,16,题16,zt_19-16_question.png,zt_19-16_solution.png,1
017,19,2019年真题,考研数学一历年真题,解答题,17,题17,zt_19-17_question.png,zt_19-17_solution.png,4
018,19,2019年真题,考研数学一历年真题,解答题,18,题18,zt_19-18_question.png,zt_19-18_solution.png,4
019,19,2019年真题,考研数学一历年真题,解答题,19,题19,zt_19-19_question.png,zt_19-19_solution.png,2
020,19,2019年真题,考研数学一历年真题,解答题,20,题20,zt_19-20_question.png,zt_19-20_solution.png,4
021,19,2019年真题,考研数学一历年真题,解答题,21,题21,zt_19-21_question.png,zt_19-21_solution.png,5
022,19,2019年真题,考研数学一历年真题,解答题,22,题22,zt_19-22_question.png,zt_19-22_solution.png,3
023,19,2019年真题,考研数学一历年真题,解答题,23,题23,zt_19-23_question.png,zt_19-23_solution.png,2
