asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,21,2021年真题,考研数学一历年真题,选择题,01,题1,zt_21-01_question.png,zt_21-01_solution.png,1
002,21,2021年真题,考研数学一历年真题,选择题,02,题2,zt_21-02_question.png,zt_21-02_solution.png,2
003,21,2021年真题,考研数学一历年真题,选择题,03,题3,zt_21-03_question.png,zt_21-03_solution.png,1
004,21,2021年真题,考研数学一历年真题,选择题,04,题4,zt_21-04_question.png,zt_21-04_solution.png,2
005,21,2021年真题,考研数学一历年真题,选择题,05,题5,zt_21-05_question.png,zt_21-05_solution.png,2
006,21,2021年真题,考研数学一历年真题,选择题,06,题6,zt_21-06_question.png,zt_21-06_solution.png,2
007,21,2021年真题,考研数学一历年真题,选择题,07,题7,zt_21-07_question.png,zt_21-07_solution.png,2
008,21,2021年真题,考研数学一历年真题,选择题,08,题8,zt_21-08_question.png,zt_21-08_solution.png,2
009,21,2021年真题,考研数学一历年真题,选择题,09,题9,zt_21-09_question.png,zt_21-09_solution.png,2
010,21,2021年真题,考研数学一历年真题,选择题,10,题10,zt_21-10_question.png,zt_21-10_solution.png,2
011,21,2021年真题,考研数学一历年真题,填空题,11,题11,zt_21-11_question.png,zt_21-11_solution.png,1
012,21,2021年真题,考研数学一历年真题,填空题,12,题12,zt_21-12_question.png,zt_21-12_solution.png,1
013,21,2021年真题,考研数学一历年真题,填空题,13,题13,zt_21-13_question.png,zt_21-13_solution.png,3
014,21,2021年真题,考研数学一历年真题,填空题,14,题14,zt_21-14_question.png,zt_21-14_solution.png,1
015,21,2021年真题,考研数学一历年真题,填空题,15,题15,zt_21-15_question.png,zt_21-15_solution.png,2
016,21,2021年真题,考研数学一历年真题,填空题,16,题16,zt_21-16_question.png,zt_21-16_solution.png,2
017,21,2021年真题,考研数学一历年真题,解答题,17,题17,zt_21-17_question.png,zt_21-17_solution.png,2
018,21,2021年真题,考研数学一历年真题,解答题,18,题18,zt_21-18_question.png,zt_21-18_solution.png,4
019,21,2021年真题,考研数学一历年真题,解答题,19,题19,zt_21-19_question.png,zt_21-19_solution.png,2
020,21,2021年真题,考研数学一历年真题,解答题,20,题20,zt_21-20_question.png,zt_21-20_solution.png,5
021,21,2021年真题,考研数学一历年真题,解答题,21,题21,zt_21-21_question.png,zt_21-21_solution.png,4
022,21,2021年真题,考研数学一历年真题,解答题,22,题22,zt_21-22_question.png,zt_21-22_solution.png,5
