asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,95,1995年真题,考研数学一历年真题,填空题,01,题1,zt_95-01_question.png,zt_95-01_solution.png,1
002,95,1995年真题,考研数学一历年真题,填空题,02,题2,zt_95-02_question.png,zt_95-02_solution.png,1
003,95,1995年真题,考研数学一历年真题,填空题,03,题3,zt_95-03_question.png,zt_95-03_solution.png,1
004,95,1995年真题,考研数学一历年真题,填空题,04,题4,zt_95-04_question.png,zt_95-04_solution.png,1
005,95,1995年真题,考研数学一历年真题,填空题,05,题5,zt_95-05_question.png,zt_95-05_solution.png,2
006,95,1995年真题,考研数学一历年真题,选择题,06,题6,zt_95-06_question.png,zt_95-06_solution.png,1
007,95,1995年真题,考研数学一历年真题,选择题,07,题7,zt_95-07_question.png,zt_95-07_solution.png,1
008,95,1995年真题,考研数学一历年真题,选择题,08,题8,zt_95-08_question.png,zt_95-08_solution.png,2
009,95,1995年真题,考研数学一历年真题,选择题,09,题9,zt_95-09_question.png,zt_95-09_solution.png,1
010,95,1995年真题,考研数学一历年真题,选择题,10,题10,zt_95-10_question.png,zt_95-10_solution.png,1
011,95,1995年真题,考研数学一历年真题,解答题,11,题11,zt_95-11_question.png,zt_95-11_solution.png,1
012,95,1995年真题,考研数学一历年真题,解答题,12,题12,zt_95-12_question.png,zt_95-12_solution.png,1
013,95,1995年真题,考研数学一历年真题,解答题,13,题13,zt_95-13_question.png,zt_95-13_solution.png,1
014,95,1995年真题,考研数学一历年真题,解答题,14,题14,zt_95-14_question.png,zt_95-14_solution.png,1
015,95,1995年真题,考研数学一历年真题,解答题,15,题15,zt_95-15_question.png,zt_95-15_solution.png,1
016,95,1995年真题,考研数学一历年真题,解答题,16,题16,zt_95-16_question.png,zt_95-16_solution.png,1
017,95,1995年真题,考研数学一历年真题,解答题,17,题17,zt_95-17_question.png,zt_95-17_solution.png,1
018,95,1995年真题,考研数学一历年真题,解答题,18,题18,zt_95-18_question.png,zt_95-18_solution.png,2
019,95,1995年真题,考研数学一历年真题,解答题,19,题19,zt_95-19_question.png,zt_95-19_solution.png,1
020,95,1995年真题,考研数学一历年真题,填空题,20,题20,zt_95-20_question.png,zt_95-20_solution.png,1
021,95,1995年真题,考研数学一历年真题,填空题,21,题21,zt_95-21_question.png,zt_95-21_solution.png,1
022,95,1995年真题,考研数学一历年真题,解答题,22,题22,zt_95-22_question.png,zt_95-22_solution.png,1
