asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,93,1993年真题,考研数学一历年真题,填空题,01,题1,zt_93-01_question.png,zt_93-01_solution.png,1
002,93,1993年真题,考研数学一历年真题,填空题,02,题2,zt_93-02_question.png,zt_93-02_solution.png,1
003,93,1993年真题,考研数学一历年真题,填空题,03,题3,zt_93-03_question.png,zt_93-03_solution.png,1
004,93,1993年真题,考研数学一历年真题,填空题,04,题4,zt_93-04_question.png,zt_93-04_solution.png,1
005,93,1993年真题,考研数学一历年真题,填空题,05,题5,zt_93-05_question.png,zt_93-05_solution.png,2
006,93,1993年真题,考研数学一历年真题,选择题,06,题6,zt_93-06_question.png,zt_93-06_solution.png,1
007,93,1993年真题,考研数学一历年真题,选择题,07,题7,zt_93-07_question.png,zt_93-07_solution.png,1
008,93,1993年真题,考研数学一历年真题,选择题,08,题8,zt_93-08_question.png,zt_93-08_solution.png,1
009,93,1993年真题,考研数学一历年真题,选择题,09,题9,zt_93-09_question.png,zt_93-09_solution.png,1
010,93,1993年真题,考研数学一历年真题,选择题,10,题10,zt_93-10_question.png,zt_93-10_solution.png,1
011,93,1993年真题,考研数学一历年真题,解答题,11,题11,zt_93-11_question.png,zt_93-11_solution.png,2
012,93,1993年真题,考研数学一历年真题,解答题,12,题12,zt_93-12_question.png,zt_93-12_solution.png,1
013,93,1993年真题,考研数学一历年真题,解答题,13,题13,zt_93-13_question.png,zt_93-13_solution.png,1
014,93,1993年真题,考研数学一历年真题,解答题,14,题14,zt_93-14_question.png,zt_93-14_solution.png,1
015,93,1993年真题,考研数学一历年真题,解答题,15,题15,zt_93-15_question.png,zt_93-15_solution.png,2
016,93,1993年真题,考研数学一历年真题,解答题,16,题16,zt_93-16_question.png,zt_93-16_solution.png,1
017,93,1993年真题,考研数学一历年真题,解答题,17,题17,zt_93-17_question.png,zt_93-17_solution.png,1
018,93,1993年真题,考研数学一历年真题,解答题,18,题18,zt_93-18_question.png,zt_93-18_solution.png,4
019,93,1993年真题,考研数学一历年真题,解答题,19,题19,zt_93-19_question.png,zt_93-19_solution.png,2
020,93,1993年真题,考研数学一历年真题,解答题,20,题20,zt_93-20_question.png,zt_93-20_solution.png,1
021,93,1993年真题,考研数学一历年真题,填空题,21,题21,zt_93-21_question.png,zt_93-21_solution.png,1
022,93,1993年真题,考研数学一历年真题,填空题,22,题22,zt_93-22_question.png,zt_93-22_solution.png,2
023,93,1993年真题,考研数学一历年真题,解答题,23,题23,zt_93-23_question.png,zt_93-23_solution.png,1
