asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,92,1992年真题,考研数学一历年真题,填空题,01,题1,zt_92-01_question.png,zt_92-01_solution.png,1
002,92,1992年真题,考研数学一历年真题,填空题,02,题2,zt_92-02_question.png,zt_92-02_solution.png,1
003,92,1992年真题,考研数学一历年真题,填空题,03,题3,zt_92-03_question.png,zt_92-03_solution.png,1
004,92,1992年真题,考研数学一历年真题,填空题,04,题4,zt_92-04_question.png,zt_92-04_solution.png,1
005,92,1992年真题,考研数学一历年真题,填空题,05,题5,zt_92-05_question.png,zt_92-05_solution.png,1
006,92,1992年真题,考研数学一历年真题,选择题,06,题6,zt_92-06_question.png,zt_92-06_solution.png,2
007,92,1992年真题,考研数学一历年真题,选择题,07,题7,zt_92-07_question.png,zt_92-07_solution.png,1
008,92,1992年真题,考研数学一历年真题,选择题,08,题8,zt_92-08_question.png,zt_92-08_solution.png,1
009,92,1992年真题,考研数学一历年真题,选择题,09,题9,zt_92-09_question.png,zt_92-09_solution.png,1
010,92,1992年真题,考研数学一历年真题,选择题,10,题10,zt_92-10_question.png,zt_92-10_solution.png,1
011,92,1992年真题,考研数学一历年真题,解答题,11,题11,zt_92-11_question.png,zt_92-11_solution.png,1
012,92,1992年真题,考研数学一历年真题,解答题,12,题12,zt_92-12_question.png,zt_92-12_solution.png,1
013,92,1992年真题,考研数学一历年真题,解答题,13,题13,zt_92-13_question.png,zt_92-13_solution.png,1
014,92,1992年真题,考研数学一历年真题,解答题,14,题14,zt_92-14_question.png,zt_92-14_solution.png,2
015,92,1992年真题,考研数学一历年真题,解答题,15,题15,zt_92-15_question.png,zt_92-15_solution.png,1
016,92,1992年真题,考研数学一历年真题,解答题,16,题16,zt_92-16_question.png,zt_92-16_solution.png,1
017,92,1992年真题,考研数学一历年真题,解答题,17,题17,zt_92-17_question.png,zt_92-17_solution.png,2
018,92,1992年真题,考研数学一历年真题,解答题,18,题18,zt_92-18_question.png,zt_92-18_solution.png,1
019,92,1992年真题,考研数学一历年真题,解答题,19,题19,zt_92-19_question.png,zt_92-19_solution.png,1
020,92,1992年真题,考研数学一历年真题,填空题,20,题20,zt_92-20_question.png,zt_92-20_solution.png,1
021,92,1992年真题,考研数学一历年真题,填空题,21,题21,zt_92-21_question.png,zt_92-21_solution.png,2
022,92,1992年真题,考研数学一历年真题,解答题,22,题22,zt_92-22_question.png,zt_92-22_solution.png,1
