asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,13,2013年真题,考研数学一历年真题,选择题,01,题1,zt_13-01_question.png,zt_13-01_solution.png,2
002,13,2013年真题,考研数学一历年真题,选择题,02,题2,zt_13-02_question.png,zt_13-02_solution.png,2
003,13,2013年真题,考研数学一历年真题,选择题,03,题3,zt_13-03_question.png,zt_13-03_solution.png,2
004,13,2013年真题,考研数学一历年真题,选择题,04,题4,zt_13-04_question.png,zt_13-04_solution.png,3
005,13,2013年真题,考研数学一历年真题,选择题,05,题5,zt_13-05_question.png,zt_13-05_solution.png,2
006,13,2013年真题,考研数学一历年真题,选择题,06,题6,zt_13-06_question.png,zt_13-06_solution.png,1
007,13,2013年真题,考研数学一历年真题,选择题,07,题7,zt_13-07_question.png,zt_13-07_solution.png,2
008,13,2013年真题,考研数学一历年真题,选择题,08,题8,zt_13-08_question.png,zt_13-08_solution.png,1
009,13,2013年真题,考研数学一历年真题,填空题,09,题9,zt_13-09_question.png,zt_13-09_solution.png,2
010,13,2013年真题,考研数学一历年真题,填空题,10,题10,zt_13-10_question.png,zt_13-10_solution.png,1
011,13,2013年真题,考研数学一历年真题,填空题,11,题11,zt_13-11_question.png,zt_13-11_solution.png,1
012,13,2013年真题,考研数学一历年真题,填空题,12,题12,zt_13-12_question.png,zt_13-12_solution.png,1
013,13,2013年真题,考研数学一历年真题,填空题,13,题13,zt_13-13_question.png,zt_13-13_solution.png,1
014,13,2013年真题,考研数学一历年真题,填空题,14,题14,zt_13-14_question.png,zt_13-14_solution.png,2
015,13,2013年真题,考研数学一历年真题,解答题,15,题15,zt_13-15_question.png,zt_13-15_solution.png,2
016,13,2013年真题,考研数学一历年真题,解答题,16,题16,zt_13-16_question.png,zt_13-16_solution.png,2
017,13,2013年真题,考研数学一历年真题,解答题,17,题17,zt_13-17_question.png,zt_13-17_solution.png,2
018,13,2013年真题,考研数学一历年真题,解答题,18,题18,zt_13-18_question.png,zt_13-18_solution.png,2
019,13,2013年真题,考研数学一历年真题,解答题,19,题19,zt_13-19_question.png,zt_13-19_solution.png,2
020,13,2013年真题,考研数学一历年真题,解答题,20,题20,zt_13-20_question.png,zt_13-20_solution.png,2
021,13,2013年真题,考研数学一历年真题,解答题,21,题21,zt_13-21_question.png,zt_13-21_solution.png,3
022,13,2013年真题,考研数学一历年真题,解答题,22,题22,zt_13-22_question.png,zt_13-22_solution.png,1
023,13,2013年真题,考研数学一历年真题,解答题,23,题23,zt_13-23_question.png,zt_13-23_solution.png,3
