asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,17,2017年真题,考研数学一历年真题,选择题,01,题1,zt_17-01_question.png,zt_17-01_solution.png,1
002,17,2017年真题,考研数学一历年真题,选择题,02,题2,zt_17-02_question.png,zt_17-02_solution.png,2
003,17,2017年真题,考研数学一历年真题,选择题,03,题3,zt_17-03_question.png,zt_17-03_solution.png,1
004,17,2017年真题,考研数学一历年真题,选择题,04,题4,zt_17-04_question.png,zt_17-04_solution.png,2
005,17,2017年真题,考研数学一历年真题,选择题,05,题5,zt_17-05_question.png,zt_17-05_solution.png,3
006,17,2017年真题,考研数学一历年真题,选择题,06,题6,zt_17-06_question.png,zt_17-06_solution.png,3
007,17,2017年真题,考研数学一历年真题,选择题,07,题7,zt_17-07_question.png,zt_17-07_solution.png,3
008,17,2017年真题,考研数学一历年真题,选择题,08,题8,zt_17-08_question.png,zt_17-08_solution.png,3
009,17,2017年真题,考研数学一历年真题,填空题,09,题9,zt_17-09_question.png,zt_17-09_solution.png,2
010,17,2017年真题,考研数学一历年真题,填空题,10,题10,zt_17-10_question.png,zt_17-10_solution.png,1
011,17,2017年真题,考研数学一历年真题,填空题,11,题11,zt_17-11_question.png,zt_17-11_solution.png,3
012,17,2017年真题,考研数学一历年真题,填空题,12,题12,zt_17-12_question.png,zt_17-12_solution.png,2
013,17,2017年真题,考研数学一历年真题,填空题,13,题13,zt_17-13_question.png,zt_17-13_solution.png,1
014,17,2017年真题,考研数学一历年真题,填空题,14,题14,zt_17-14_question.png,zt_17-14_solution.png,1
015,17,2017年真题,考研数学一历年真题,解答题,15,题15,zt_17-15_question.png,zt_17-15_solution.png,2
016,17,2017年真题,考研数学一历年真题,解答题,16,题16,zt_17-16_question.png,zt_17-16_solution.png,2
017,17,2017年真题,考研数学一历年真题,解答题,17,题17,zt_17-17_question.png,zt_17-17_solution.png,3
018,17,2017年真题,考研数学一历年真题,解答题,18,题18,zt_17-18_question.png,zt_17-18_solution.png,2
019,17,2017年真题,考研数学一历年真题,解答题,19,题19,zt_17-19_question.png,zt_17-19_solution.png,3
020,17,2017年真题,考研数学一历年真题,解答题,20,题20,zt_17-20_question.png,zt_17-20_solution.png,3
021,17,2017年真题,考研数学一历年真题,解答题,21,题21,zt_17-21_question.png,zt_17-21_solution.png,3
022,17,2017年真题,考研数学一历年真题,解答题,22,题22,zt_17-22_question.png,zt_17-22_solution.png,3
023,17,2017年真题,考研数学一历年真题,解答题,23,题23,zt_17-23_question.png,zt_17-23_solution.png,3
